candidato,id,celda,ubicacion,cita,categoria,veredicto,ocurrencias,justificacion,refs
K-001,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:6,"dist/main.js`) y responde `GET /health` (`rpc.status = ""OK""`, `chainId 11155111`) contra el",,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-002,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:7,nodo JSON-RPC configurable. La suite propia pasa (125 tests). Los puntos siguientes son lo,,CORRECTO,1,"JSON-RPC: `eth_chainId` existe y retorna quantity hex; `eth_getBalance(address, block)` existe (corpus/documentos/ethereum-json-rpc.md, §eth_chainId y §eth_getBalance; Conventions Hex value encoding). No hay método inventado.",
K-003,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:12,1. **Un `chainId`/`network` repetido en la query saltea por completo la validación de red.**,,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-004,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:13,`backend/src/http/app.ts:256-267`. Las guardas usan `typeof rawChainId === 'string'` /,,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-005,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:16,- `GET /api/v1/deposit-address?asset=ETH&chainId=1` → `422 CHAIN_ID_MISMATCH` (correcto),,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-006,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:17,- `GET /api/v1/deposit-address?asset=ETH&chainId=1&chainId=1` → **`200`** con la dirección,,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-007,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:19,"Incumple **HU-06-04 RN-4** (""Si… la consulta especificara una red o `chainId` distinto de",,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-008,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:20,"Sepolia, se rechaza con `CHAIN_ID_MISMATCH`"") y su precedencia **RN-9**; además es",,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-009,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:24,2. **`tokenAddress` se devuelve sin checksum EIP-55 si `USDC_CONTRACT_ADDRESS` viene en,,CORRECTO,1,"Checksum EIP-55/ERC-55: Keccak-256 sobre el hex ASCII en minúsculas sin `0x`; nibble ≥ 8 (o > 7) ⇒ mayúscula. Vectores oficiales All caps / All Lower / Normal (corpus/documentos/erc-55.md, Specification, Implementation y Test Cases).",
K-010,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:30,**HU-06-04 RN-6** exigen `tokenAddress` como `0x`+40 hex **con checksum EIP-55**.,,CORRECTO,1,"Checksum EIP-55/ERC-55: Keccak-256 sobre el hex ASCII en minúsculas sin `0x`; nibble ≥ 8 (o > 7) ⇒ mayúscula. Vectores oficiales All caps / All Lower / Normal (corpus/documentos/erc-55.md, Specification, Implementation y Test Cases).",
