at_id,epica,hu,archivo,titulo_escenario,tipo
AT-01-01-01,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 1: Registro exitoso con credenciales válidas,backend
AT-01-01-02,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 2 (borde): Normalización del email (mayúsculas y espacios),backend
AT-01-01-03,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 3 (error): Email ya registrado,backend
AT-01-01-04a,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 4 (error): Formato de email inválido — sin `@`,backend
AT-01-01-04b,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 4b (error): Formato de email inválido — dominio sin punto,backend
AT-01-01-04c,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 4c (error): Formato de email inválido — parte local vacía,backend
AT-01-01-04d,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 4d (error): Formato de email inválido — espacio interno,backend
AT-01-01-04e,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 4e (error): Formato de email inválido — dominio con punto inicial o puntos consecutivos,backend
AT-01-01-05,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 5 (error): Contraseña demasiado corta,backend
AT-01-01-06,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 6 (error): Contraseña demasiado larga,backend
AT-01-01-07,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 7 (error): Campo requerido faltante,backend
AT-01-01-08,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 8 (error): Tipo de dato incorrecto,backend
AT-01-01-09,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 9 (precedencia): Email inválido y password inválida simultáneos,backend
AT-01-01-10,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 10 (concurrencia): Dos registros simultáneos con el mismo email,backend
AT-01-01-11,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 11 (borde): Persistencia tras reinicio,backend
AT-01-01-12,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 12 (borde): Contraseña en el límite inferior válido (8 caracteres),backend
AT-01-01-13,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 13 (borde): Contraseña en el límite superior válido (128 caracteres),backend
AT-01-01-14,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 14 (borde): Email en el límite superior válido (254 caracteres),backend
AT-01-01-15,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 15 (error): Email que excede el máximo (255 caracteres),backend
AT-01-01-16,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 16 (precedencia): Campo faltante prevalece sobre formato de email,backend
AT-01-01-17,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 17 (precedencia): Tipo incorrecto prevalece sobre unicidad de email,backend
AT-01-01-18,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 18 (error): Campo desconocido en el payload,backend
AT-01-01-19,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,Escenario 19 (borde): El `accountId` es opaco y no secuencial,backend
AT-01-01-20,01,HU-01-01,spec/01-cuentas-y-autenticacion/HU-01-01-registro-de-usuario.md,"Escenario 20 (seguridad, condicional a config): Anti-flood de registro",backend
AT-01-02-01,01,HU-01-02,spec/01-cuentas-y-autenticacion/HU-01-02-inicio-de-sesion.md,Escenario 1: Login exitoso,backend
AT-01-02-02,01,HU-01-02,spec/01-cuentas-y-autenticacion/HU-01-02-inicio-de-sesion.md,Escenario 2 (borde): Email con distinta capitalización y espacios,backend
AT-01-02-03,01,HU-01-02,spec/01-cuentas-y-autenticacion/HU-01-02-inicio-de-sesion.md,Escenario 3 (borde): El token autentica una llamada protegida,backend
AT-01-02-04,01,HU-01-02,spec/01-cuentas-y-autenticacion/HU-01-02-inicio-de-sesion.md,Escenario 4 (error): Contraseña incorrecta,backend
AT-01-02-05,01,HU-01-02,spec/01-cuentas-y-autenticacion/HU-01-02-inicio-de-sesion.md,Escenario 5 (error): Email inexistente — respuesta indistinguible,backend
AT-01-02-06,01,HU-01-02,spec/01-cuentas-y-autenticacion/HU-01-02-inicio-de-sesion.md,Escenario 6 (error): Payload mal formado,backend
AT-01-02-07,01,HU-01-02,spec/01-cuentas-y-autenticacion/HU-01-02-inicio-de-sesion.md,Escenario 7 (precedencia): Esquema inválido tiene prioridad sobre credenciales,backend
AT-01-02-08,01,HU-01-02,spec/01-cuentas-y-autenticacion/HU-01-02-inicio-de-sesion.md,Escenario 8 (borde): Sesiones múltiples concurrentes,backend
AT-01-02-09,01,HU-01-02,spec/01-cuentas-y-autenticacion/HU-01-02-inicio-de-sesion.md,Escenario 9 (error): Rate limiting tras múltiples fallos,backend
AT-01-02-10,01,HU-01-02,spec/01-cuentas-y-autenticacion/HU-01-02-inicio-de-sesion.md,Escenario 10 (seguridad): Heurística de entropía del token,backend
AT-01-02-11,01,HU-01-02,spec/01-cuentas-y-autenticacion/HU-01-02-inicio-de-sesion.md,Escenario 11 (seguridad): Indistinguibilidad temporal — anti timing attack,backend
AT-01-02-12,01,HU-01-02,spec/01-cuentas-y-autenticacion/HU-01-02-inicio-de-sesion.md,Escenario 12 (no enumeración): Email con formato inválido en login,backend
AT-01-02-13,01,HU-01-02,spec/01-cuentas-y-autenticacion/HU-01-02-inicio-de-sesion.md,Escenario 13 (auditoría): Registro de intentos de autenticación,backend
AT-01-03-01,01,HU-01-03,spec/01-cuentas-y-autenticacion/HU-01-03-cierre-y-expiracion-de-sesion.md,Escenario 1: Logout explícito exitoso,backend
AT-01-03-02,01,HU-01-03,spec/01-cuentas-y-autenticacion/HU-01-03-cierre-y-expiracion-de-sesion.md,Escenario 2: Token invalidado por logout no autentica,backend
AT-01-03-03,01,HU-01-03,spec/01-cuentas-y-autenticacion/HU-01-03-cierre-y-expiracion-de-sesion.md,Escenario 3 (borde): Token válido antes de expirar,backend
AT-01-03-04,01,HU-01-03,spec/01-cuentas-y-autenticacion/HU-01-03-cierre-y-expiracion-de-sesion.md,Escenario 4 (error): Token expirado por TTL,backend
AT-01-03-05,01,HU-01-03,spec/01-cuentas-y-autenticacion/HU-01-03-cierre-y-expiracion-de-sesion.md,Escenario 5 (borde): Logout afecta solo al token presentado,backend
