at_id,resultado,detalle,fuera_de_catalogo
AT-11-01-01,PASA,Login evaluador@test.loc/EvalPass99 navega a Depositar. Token vía SecureStore (sessionStore.ts); password no se persiste. Cold start AT-11-01-02. evidencia/AT-11-01-01-1.png evidencia/AT-11-01-01-1.xml evidencia/AT-11-01-01-form.png,false
AT-11-01-02,PASA,am force-stop host.exp.exponent + CMD_RELANZAR_APP: entra a Depositar sin credenciales. App.restore() no llama /me (RN-10). Tests App.test.tsx. CMD_LOG_BACKEND no registra HTTP (Fastify logger:false). evidencia/AT-11-01-02-1.png evidencia/AT-11-01-02-1.xml,false
AT-11-01-03,PASA,Tras Cerrar sesión muestra login vacío y no Depositar. Cold start idéntico (sin endpoints autenticados observables). Tests App.test.tsx AT-11-01-03. evidencia/AT-11-01-03-logout.png evidencia/AT-11-01-03-1.png evidencia/AT-11-01-03-1.xml,false
AT-11-01-04,PASA,INVALID_CREDENTIALS: «Email o contraseña incorrectos.» (no enumera). Permanece en login; password limpiado. Cold start sigue en login (sin token). evidencia/AT-11-01-04-1.png evidencia/AT-11-01-04-1.xml evidencia/AT-11-01-04-cold.png,false
AT-11-01-05,PASA,"Sesión activa; DELETE FROM sessions (revocación servidor); tap USDC-mock (GET deposit-address) → login «Tu sesión expiró, ingresá nuevamente.». Cold start no restaura. evidencia/AT-11-01-05-authed.png evidencia/AT-11-01-05-1.png evidencia/AT-11-01-05-1.xml evidencia/AT-11-01-05-cold.png",false
AT-11-01-06,PASA,Cerrar sesión → login sin aviso de expiración. Cold start pide credenciales (no restaura). evidencia/AT-11-01-06-logout.png evidencia/AT-11-01-06-1.png evidencia/AT-11-01-06-1.xml,false
AT-11-01-07,PASA,"Vacíos: «Ingresá tu email.» / «Ingresá tu contraseña.», Ingresar disabled. Email no-es-email: «Ingresá un email válido.», Ingresar disabled. evidencia/AT-11-01-07-empty.png evidencia/AT-11-01-07-empty.xml evidencia/AT-11-01-07-1.png evidencia/AT-11-01-07-1.xml",false
AT-11-01-08,PASA,Instrumentación: sessionStore.test.ts AT-11-01-08 (SecureStore.setItemAsync). Código sessionStore.ts sólo SecureStore; grep sin AsyncStorage. Jest 36/36 desde /tmp/eval-mobile-jest-ok. evidencia/jest-instrumentation.log,false
AT-11-01-09,PASA,Corte: cmd connectivity airplane-mode enable. Login válido → «No se pudo conectar. Revisá tu conexión e intentá nuevamente.» (≠ INVALID_CREDENTIALS). Formulario reintentable; avión disable + retry entra a Depositar. evidencia/AT-11-01-09-1.png evidencia/AT-11-01-09-1.xml evidencia/AT-11-01-09-retry-ok.png,false
AT-11-01-10,PASA,"HOME; sleep 60 real (15:51:18–15:52:18); resume am start VIEW exp://10.0.2.2:8081. Sigue Depositar, canal En vivo, sin re-login. evidencia/AT-11-01-10-1.png evidencia/AT-11-01-10-2.png evidencia/AT-11-01-10-2.xml",false
