at_id,resultado,detalle,fuera_de_catalogo
AT-11-01-01,FALLA,"Tres envíos con evaluador@orbe.test / EvalPass12 (backend /health ok, login por API 200) no navegan a la vista autenticada: permanece en login con «No se pudo conectar…». evidencia/AT-11-01-01-1.png (formulario), AT-11-01-01-3.png y AT-11-01-01-4.png + dumps XML. auth_audit sin filas nuevas (el request no llega al backend). Causa observable: el bundle usa fallback http://localhost:3000 (config.ts lee EXPO_PUBLIC_API_URL; el .env de Metro define EXPO_PUBLIC_API_BASE_URL). SecureStore no se llega a escribir. Inspección: LoginScreen.onAuthenticated → SessionManager.establish → DepositScreen.",false
AT-11-01-02,NO_EVALUABLE,"(b) No hay token persistido válido: el login de AT-11-01-01 no completa. Tres intentos de login + task-kill (`am force-stop host.exp.exponent`) y relanzamiento con CMD_RELANZAR_APP muestran de nuevo el login vacío, no la vista autenticada. evidencia/AT-11-01-02-1.png y dump. Tests propios en /tmp/eval-mobile-jest (App.test.tsx «AT-11-01-02 restaura optimistamente y omite /me») pasan, pero la condición de rúbrica no es provocable en el emulador.",false
AT-11-01-03,PASA,"Tras force-stop (sin token en SecureStore) la app abre en login: «Ingresá a tu cuenta», campos vacíos, Ingresar deshabilitado. evidencia/AT-11-01-03-1.png + dump XML. No hay filas nuevas en auth_audit ni llamadas autenticadas (App.restore sin token pone phase=anonymous y no fetch). CMD_LOG_BACKEND sin líneas HTTP (Fastify logger:false).",false
AT-11-01-04,FALLA,"Credenciales incorrectas (evaluador@orbe.test / WrongPass99) no producen el mensaje de INVALID_CREDENTIALS: se muestra el de conectividad «No se pudo conectar…» y auth_audit no registra FAILURE (el POST /login no llega; localhost:3000). evidencia/AT-11-01-04-1.png. Permanece en login. Tests LoginScreen.test.tsx cubren el mensaje no enumerable, no observable en dispositivo.",false
AT-11-01-05,NO_EVALUABLE,(b) No se pudo obtener sesión activa (login no persiste token; tres intentos). No hay acción autenticada que reciba 401. Tests api.test.ts «AT-11-01-05/14» y App.test.tsx (UNAUTHENTICATED → login) pasan en /tmp/eval-mobile-jest.,false
AT-11-01-06,NO_EVALUABLE,(b) No hay sesión activa ni botón «Cerrar sesión» alcanzable. Tres intentos de login no navegan a DepositScreen. Tests App.test.tsx «AT-11-01-06 el logout voluntario…» y session.test.ts pasan en copia /tmp.,false
AT-11-01-07,PASA,"Formulario vacío: Ingresar enabled=false (dump AT-11-01-07-1.xml). Email «no-es-email»: mensaje local «Ingresá un email válido.», borde rojo, Ingresar disabled. evidencia/AT-11-01-07-2.png + dump. Tap al botón deshabilitado no incrementa auth_audit (449→449). LoginScreen.test.tsx «AT-11-01-07» pasa. Mensaje de password vacía visto en intento previo (dump con «Ingresá tu contraseña.»).",false
AT-11-01-08,PASA,Instrumentación: sessionStore.ts escribe solo via expo-secure-store (TOKEN_KEY orbe.session-token.v1); no hay AsyncStorage en src ni package.json. Test sessionStore.test.ts «AT-11-01-08 escribe y borra el token sólo mediante Expo SecureStore» PASS. Suite /tmp/eval-mobile-jest: 36/36 PASS (evidencia/jest-mobile.txt). SessionManager.establish llama store.saveToken; LoginScreen no persiste password.,false
AT-11-01-09,PASA,Corte: `docker stop sut-2b` (anotado; /health connection refused). Envío de credenciales válidas → «No se pudo conectar. Revisá tu conexión e intentá nuevamente.» (distinto de «Email o contraseña incorrectos.»). Permanece en login con Ingresar habilitado para reintentar; password no se limpia. evidencia/AT-11-01-09-1.png. Restaurado con `docker start sut-2b` hasta /health ok. LoginScreen.test.tsx AT-11-01-09 PASS.,false
AT-11-01-10,NO_EVALUABLE,"(b) Requiere sesión activa y token válido. Tres logins no establecen sesión (localhost:3000). No se provocó background≥60s con sesión. App.test.tsx cubre overlay de privacy al background, no el umbral de 60 s con token vivo.",false
AT-11-01-11,PASA,"Instrumentación: ningún console.log/warn/error en src/. LoginScreen.test.tsx «AT-11-01-11 no escribe token ni password en logs» PASS. logcat durante login con EvalPass12: 0 ocurrencias de la password, el email ni «Bearer » (evidencia/AT-11-01-11-logcat.txt).",false
AT-11-01-12,NO_EVALUABLE,"(b) No hay sesión ni WS autenticado en dispositivo (login no completa). Tres intentos. privateSocket.test.ts «AT-11-01-12» PASS: handshake con {type:auth,token}, UNAUTHENTICATED singleton, token no va en la URL.",false
AT-11-01-13,PASA,"Instrumentación: SessionManager.restore captura el error de readToken, token=null, readFailed=true, sin rethrow. App.tsx muestra login y reintenta en el próximo foreground. session.test.ts «AT-11-01-13» y App.test.tsx «AT-11-01-13 reintenta SecureStore… sin mostrar internals» PASS en /tmp/eval-mobile-jest. Before First Unlock no provocable en emulador.",false
AT-11-01-14,PASA,Instrumentación (precondición 5): SessionManager.clearSingleton es promesa única por token (Map clearOperations); onCleared una vez. api.test.ts «AT-11-01-05/14 varios 401… limpieza singleton» y session.test.ts «AT-11-01-05/06/14 serializa borrado y navegación concurrentes» PASS. UI concurrente balances+órdenes+market no provocable (HU fuera de alcance y sin sesión).,false
AT-11-02-01,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-02-02,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-02-03,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-02-04,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-02-05,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-02-06,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-02-07,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-02-08,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-02-09,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-02-10,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-01,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-02,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-03,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-04,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-05,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-06,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-07,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-08,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-09,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-10,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-11,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-12,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-13,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-14,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-15,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-16,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-17,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-03-18,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-04-01,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-04-02,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-04-03,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-04-04,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-04-05,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-04-06,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-04-07,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-04-08,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-04-09,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-04-10,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-04-11,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-04-12,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-04-13,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-04-14,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-05-01,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-05-02,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-05-03,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-05-04,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-05-05,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-05-06,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-05-07,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-05-08,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-05-09,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-05-10,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-05-11,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-05-12,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-01,NO_EVALUABLE,"(b) No se pudo abrir la pantalla de depósito: tres logins válidos no navegan (cliente contra localhost:3000). DepositScreen.test.tsx «AT-11-06-01» y qr.test.ts PASS en /tmp, pero la verificación manual (QR, copiar, EIP-55 en UI) no es provocable.",false
AT-11-06-02,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-03,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-04,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-05,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-06,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-07,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-08,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-09,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-10,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-11,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-12,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-13,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-14,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-15,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-16,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-17,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-18,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-19,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-20,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-21,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-22,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-23,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-24,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-25,NO_EVALUABLE,(b) fuera del alcance de la corrida,false
AT-11-06-26,NO_EVALUABLE,(b) Misma causa que AT-11-06-01: pestaña USDC-mock inalcanzable en el emulador. GET /deposit-address?asset=USDC por API devuelve tokenAddress 0xe7f1725E7734CE288F8367e1Bb143E90bb3F0512 y address 0xeFa34a…; qr.ts genera ethereum:<token>@11155111/transfer?address=<eoa>. Tests DepositScreen.test.tsx y qr.test.ts AT-11-06-26 PASS. Sin captura de QR en dispositivo.,false
