etapa,punto,eje,severidad,ancla,referencias,ubicacion,accionable,veracidad,destino,evidencia
backend,1,CORRECCION,MAYOR,SPEC,HU-06-02; RN-8; AT-06-02-08,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"Artefacto L1: «src/crypto/wallet.ts:156-183 captura InvalidDerivedKeyError de cualquier componente del path, pero reintenta incrementando únicamente address_index… Un repro con I_L >= n en 44' no terminó y fue abortado por timeout… HU-06-02 RN-8 y AT-06-02-08… test/wallet.test.ts:89-100». paso2-revisor/src/crypto/wallet.ts:69-86 deriveChild lanza InvalidDerivedKeyError si I_L>=n o k_hijo==0; 156-169 deriveAddress recorre [...BIP44_ETHEREUM_PREFIX, addressIndex] sin distinguir componente; 171-185 deriveNextValidAddress atrapa ese error y avanza solo address_index hasta MAX_ADDRESS_INDEX. paso2-revisor/test/wallet.test.ts:89-100 inyecta curveOrder solo si input.length===37 && index===4 (último child). spec/06-wallet-hd-y-direcciones/HU-06-02-derivacion-jerarquica-bip32-bip44.md RN-8/AT-06-02-08: si I_L>=n o k_hijo==0 ese índice se descarta y se avanza al siguiente según BIP-32 (el i del paso que falló), de forma determinista. Veracidad VERDADERO por lectura (R4): con HMAC que falla en 44' el bucle recorre 2^31 índices; no hace falta ejecutar el timeout. Destino RESUELTO: diff paso2→paso3 de wallet.ts añade deriveNextValidChild por componente (purpose/coinType/account/change/addressIndex) y wallet.test.ts cubre inyección en cada paso (p.ej. purpose → m/45'/60'/0'/0/7). R1: un punto."
backend,2,COMPLETITUD,MENOR,SPEC,RNE-9; HU-01-02; RN-8; RN-9,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"Artefacto L2: «src/app.ts:111-119,194-197 rechaza logins durante parsing/esquema antes de llegar a la única escritura de auditoría (src/services/auth-service.ts:75-97,114-123); … JSON malformado ya rate-limited responde desde el error handler sin ejecutar auditRateLimited. Verificado: un login sin password devolvió 422 VALIDATION_ERROR y dejó auth_audit con 0 filas… Épica 01 RNE-9 y HU-01-02 RN-8/RN-9». paso2-revisor/src/app.ts:111-119 error handler, si pendingPublicRateLimit, responde RATE_LIMITED sin audit; 188-198 POST /auth/login valida el body en el handler (validateCredentialsBody) y solo entonces llama authService.login. paso2-revisor/src/services/auth-service.ts:75-97 audita SUCCESS/INVALID_CREDENTIALS; 110-123 auditRateLimited/audit. 159-168 enforcePublicRateLimit sí audita RATE_LIMITED cuando preValidation corre. Login sin password lanza VALIDATION_ERROR en el handler, nunca llega a login()/audit → 0 filas. JSON inválido con rate-limit pendiente cae en el error handler (R4, lectura). spec/01-cuentas-y-autenticacion/README.md RNE-9 exige auditar todo intento (SUCCESS/FAILURE, reason RATE_LIMITED etc.). HU-01-02 RN-8/RN-9 fijan precedencia/rate-limit, no la auditoría (R2: no son RN de auditoría; AT-01-02-13 cubre éxito e INVALID_CREDENTIALS, ya auditados) → severidad MENOR. R1: agrupa VALIDATION_ERROR y RATE_LIMITED-en-parseo; se codea uno. Destino RESUELTO: diff paso2→paso3 app.ts onResponse+loginAuditOutcome para todos los desenlaces; auth-service.auditLoginAttempt; test/login-audit.test.ts nuevo."
backend,3,CORRECCION,MENOR,SPEC,00-fundaciones/modelo-de-errores.md; HU-09-05; RN-4; RN-10,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"Artefacto L3: «src/app.ts:139-145 construye NOT_FOUND sin details; GET /api/v1/foo devuelve solo code y message… details = { resource, id }… modelo-de-errores.md §3.2 y HU-09-05 RN-4/RN-10». paso2-revisor/src/app.ts:139-145 setNotFoundHandler: new ApiError(""NOT_FOUND"") sin details; errors.ts:44-50 toBody omite details si undefined. paso2-revisor/test/app.test.ts:466-470 GET /api/v1/foo espera solo error.code NOT_FOUND. spec/00-fundaciones/modelo-de-errores.md §3.2 details esperado {resource,id}; §1 details es opcional. HU-09-05 RN-1 details opcional; RN-4 forma de details si hay; RN-10 exige envelope NOT_FOUND y details={method,allowed} solo para 405; AT-09-05-10 no exige details en 404. Veracidad VERDADERO (el código omite details; R4). Severidad MENOR (R2: no incumple un AT ni una RN que mande esas claves en 404). Destino RESUELTO: diff paso2→paso3 app.ts: new ApiError(""NOT_FOUND"", { resource: ""route"", id: path }); test/app.test.ts espera details {resource:""route"", id:url}."
web,1,CORRECCION,MAYOR,SPEC,HU-10-01; RN-9; RN-11; AT-10-01-09,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"Artefacto L1: «web/src/App.tsx:41-50 comprueba la sesión solo al montar y no escucha popstate, aunque web/src/session.ts:52-55 lo emite. Después de autenticarse, pulsar Atrás deja la URL en /login con la pantalla autenticada, sin ejecutar GET /me ni redirigir… HU-10-01 RN-9/RN-11 y AT-10-01-09». paso2-revisor/web/src/App.tsx:17-38 checkPersistedSession hace validateSession (api.ts:83-87 GET /me) y navigate /trading; 41-46 useEffect solo montaje + SESSION_EXPIRED_EVENT, sin popstate. 48-51 handleAuthenticated: navigate(""/trading"") (push) y setState authenticated. paso2-revisor/web/src/session.ts:52-55 navigate hace pushState/replaceState y dispatch PopStateEvent(""popstate""). Tras login el historial queda /login → /trading; Back deja pathname=/login con state authenticated (pantalla «Sesión iniciada»). spec/10-cliente-web/HU-10-01-pantalla-de-login.md RN-9: si al cargar login hay sesión válida, redirigir a trading; AT-10-01-09: navegar a /login con token vigente y GET /me 200 ⇒ trading. RN-11 cubre la validación al cargar la app (GET /me). Veracidad VERDADERO (R4, lectura). Destino RESUELTO: diff paso2→paso3 App.tsx añade listener popstate que llama checkPersistedSession si pathname===""/login""; App.test.tsx dispara PopStateEvent."
web,2,CORRECCION,MAYOR,SPEC,HU-10-01; RN-6; AT-10-01-06,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"Artefacto L3: «web/src/LoginPage.tsx:46-52 resta uno por cada setTimeout; si la pestaña queda suspendida… al reanudarse solo descuenta un segundo y mantiene Ingresar deshabilitado pese a que ya pasó retryAfterSeconds… HU-10-01 RN-6 y AT-10-01-06». paso2-revisor/web/src/LoginPage.tsx:46-52 useEffect(retrySeconds) agenda setTimeout 1000 que hace setRetrySeconds(current-1); 78-87 RATE_LIMITED setea retrySeconds; 115 disabled incluye retrySeconds>0. Cadena de ticks de 1s, no deadline de reloj. spec HU-10-01 RN-6: deshabilitar reintento e informar retryAfterSeconds; transcurrido ese lapso rehabilitar. AT-10-01-06: al transcurrir el tiempo indicado el botón se rehabilita. Veracidad VERDADERO (R4): el mecanismo es decremento por callback, no Date.now(); bajo throttle de setTimeout el lapso real no se respeta. Destino RESUELTO: diff paso2→paso3 LoginPage.tsx retryDeadline.current=Date.now()+seconds*1000 y remaining=ceil((deadline-Date.now())/1000)."
mobile,1,CORRECCION,MAYOR,SPEC,HU-11-01; RN-5; RN-6; AT-11-01-05; AT-11-01-06,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"Artefacto L1: «mobile/src/session/AuthContext.tsx:62-75 cualquier fallo de SecureStore.deleteItemAsync se ignora… logout explícito :93-103 espera primero al backend. Si fallan la llamada remota y el borrado local, el token sigue válido en SecureStore… HU-11-01 RN-5/RN-6 y AT-11-01-05/AT-11-01-06». paso2-revisor/mobile/src/session/AuthContext.tsx:66-75 handleUnauthenticated try sessionStorage.remove() catch vacío y finally limpia memoria; 93-103 logout await logoutRequest y después handleUnauthenticated. paso2-revisor/mobile/src/session/session-storage.ts:16-18 remove()=SecureStore.deleteItemAsync. spec HU-11-01 RN-5/AT-11-01-05: 401 ⇒ borrar token persistido; RN-6/AT-11-01-06: logout borra almacén seguro y memoria; reabrir no restaura. RN-10 (restauración optimista) aplica solo si el token sigue persistido: el defecto es no borrar. R1: agrupa swallow-delete y orden logout-remoto; un punto MAYOR. Veracidad VERDADERO (R4). Destino RESUELTO: diff paso2→paso3 AuthContext logout llama handleUnauthenticated primero; session-storage.ts tombstone SIGNED_OUT_VALUE y reintenta deleteItemAsync; auth-context.test.tsx cubre delete rechazado."
mobile,2,CORRECCION,MAYOR,SPEC,HU-11-06; RN-2; AT-11-06-01; AT-11-06-26,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"Artefacto L3: «mobile/src/screens/DepositScreen.tsx:41-63… respuestas no se cancelan ni se validan contra el activo vigente; una respuesta ETH tardía puede sobrescribir USDC… HU-11-06 RN-2 y AT-11-06-01/AT-11-06-26». paso2-revisor/mobile/src/screens/DepositScreen.tsx:41-59 load() llama getDepositAddress(asset) y setDeposit(response) sin request-id; 61-63 useEffect(load); 94 onPress setAsset. Dos cargas concurrentes: la más lenta gana. QR via depositQrValue(deposit) (L18-22) según deposit.asset, no un lock al selector. spec HU-11-06 RN-2/AT-11-06-01: QR y texto del activo correspondiente; AT-11-06-26: selector USDC ⇒ URI ERC-20 con tokenAddress. Veracidad VERDADERO (R4, carrera clásica sin generación). Destino RESUELTO: diff paso2→paso3 DepositScreen latestRequestRef, ignora respuestas stale, selectAsset incrementa el id y setDeposit(null); render solo si deposit?.asset===asset; app.test.tsx «ignora respuestas de depósito fuera de orden»."
mobile,3,CORRECCION,MENOR,SPEC,RG-5; HU-11-01; RN-12; AT-11-01-10; AT-11-01-12,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"Artefacto L5: «mobile/src/session/usePrivateSocket.ts:99-117… onclose llama siempre scheduleReconnect() aunque connect() ya haya instalado uno nuevo al recibir AppState=active. background→foreground rápido→onclose viejo agenda un tercer socket… HU-11 README RG-5 y HU-11-01 RN-12/AT-11-01-10/AT-11-01-12». paso2-revisor/mobile/src/session/usePrivateSocket.ts:99-103 onclose: if (current===socket) socket=null; luego SIEMPRE scheduleReconnect(); 106-117 active⇒connect() sin guardar generación. Secuencia: background cierra A (socket=null), foreground abre B, onclose de A (current!==socket) igual agenda connect()→C. spec/11-cliente-mobile/README.md RG-5: suspender en background y reconectar/resync en foreground. HU-11-01 RN-12/AT-11-01-10/12 hablan de token en handshake y sesión/401, no de sockets duplicados (R2: no es RN/AT concreta de unicidad) → MENOR. El defecto de código es real (R4) → VERDADERO, no falso positivo. Destino RESUELTO: diff paso2→paso3 onclose if (current!==socket) return; connect() no abre otro si socket ya existe."
mobile,4,CORRECCION,MAYOR,SPEC,RG-6; HU-10-01; RN-6; AT-10-01-06,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"Artefacto L7: «RATE_LIMITED no bloquea el reintento durante retryAfterSeconds. mobile/src/screens/LoginScreen.tsx:50-54 muestra el tiempo… finally 60-63 rehabilita el botón, cuyo disabled 109-113 sólo depende de submitting. … HU-11 README RG-6… HU-10-01 RN-6 y AT-10-01-06». paso2-revisor/mobile/src/screens/LoginScreen.tsx:50-54 setError con segundos; 60-63 finally submitting=false; 109-113 disabled={submitting}. No hay retryUntil ni disabled por cooldown. spec HU-11 README RG-6 paridad observable con web; HU-10-01 RN-6/AT-10-01-06: deshabilitar Ingresar durante retryAfterSeconds y rehabilitar al vencer. Veracidad VERDADERO (R4). Destino RESUELTO: diff paso2→paso3 LoginScreen rateLimitedUntil deadline, submit no-op durante cooldown, disabled={submitting || rateLimitedUntil!==null}."
mobile,5,OPERABILIDAD,MENOR,EJECUCION,,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"Artefacto L9: «mobile/app.json:8 declara newArchEnabled, propiedad no admitida por el esquema de Expo SDK 57: npx --yes expo-doctor@latest falla… should NOT have additional property 'newArchEnabled' (20/21 checks)… condición operativa… proyecto Expo válido». paso2-revisor/mobile/app.json:8 ""newArchEnabled"": true; mobile/package.json:19 expo ^57.0.16. Ancla EJECUCION (R3): no cita RN/AT/HU/archivo spec/; reporta resultado de expo-doctor. Referencias vacío. Veracidad VERDADERO (R4+ejecución en copia del relato del JSONL, coincidente con el archivo): expo-doctor exit 1, 20/21, exactamente ese mensaje. No es BLOQUEANTE (R2): npm run export:mobile en el mismo paso 2 empaquetó Android/iOS; el artefacto sí compila. MENOR. Destino RESUELTO: diff paso2→paso3 app.json elimina newArchEnabled. R8 N/A."
mobile,6,CORRECCION,MAYOR,SPEC,RG-6; HU-10-01; RN-4,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"Artefacto L11: «mobile/src/screens/LoginScreen.tsx:43-60 sólo ejecuta setPassword("""") tras éxito y no en la rama de credenciales inválidas. HU-11 README RG-6… HU-10-01… RN-4 requiere limpiar la contraseña luego del rechazo». paso2-revisor/mobile/src/screens/LoginScreen.tsx:44-46 try login + setPassword("""") solo en éxito; 48-49 INVALID_CREDENTIALS setError sin limpiar password; el input L94-107 value={password}. spec HU-11 README RG-6 paridad; HU-10-01 RN-4 y AT-10-01-02a/b: ante INVALID_CREDENTIALS el campo password se limpia. Veracidad VERDADERO (R4). Destino RESUELTO: diff paso2→paso3 LoginScreen.tsx en rama INVALID_CREDENTIALS añade setPassword("""")."
