etapa,criterio,resultado,detalle
backend,RV-01,PASA,"Existe sut/.pipeline/revision-backend.md y snapshots/backend/paso2-revisor/.pipeline/revision-backend.md (1912 bytes, 3 puntos de lista). No vacío ni en otra ruta."
backend,RV-02,PASA,Hash-diff paso1-implementador → paso2-revisor: único alta .pipeline/revision-backend.md; 0 archivos cambiados fuera. JSONL paso 2 (L274-L356) file_change sólo /repo/.pipeline/revision-backend.md.
backend,RV-03,PASA,"R6: una sola escritura. JSONL item.completed file_change L349 kind=add path=/repo/.pipeline/revision-backend.md. L351 es sed -n lectura. Ningún shell con >, >>, tee ni parche sobre esa ruta."
backend,RV-04,PASA,R7: L310 npm test (42 pass); L312 npm run build; L318 npm start (escucha :3107); L317 curl /health 200; L334 y L339 node dist/src/app.js inject. Hay ejecución del sistema.
backend,RV-05,PASA,0/3 puntos con ancla=NINGUNA. Puntos 1-3 ancla=SPEC (RN/AT/HU/RNE citados).
backend,RV-06,PASA,"0/3 con ubicacion=NINGUNA. P1 src/app.ts:71-79,114-125,237-245; P2 src/wallet/crypto.ts:237-239,262-290 y test/wallet-crypto.test.ts:172-187; P3 README.md:42-49. Todos ARCHIVO_LINEA."
backend,RV-07,PASA,"R2: buckets de la rúbrica, no Alta/Media/Baja del revisor. Severidades codeadas MAYOR, MAYOR, MAYOR (P3 es RN-6/RN-10). Sin inversión."
backend,RV-08,PASA,0/3 con eje=OTRO. P1-P2 CORRECCION; P3 OPERABILIDAD (ejemplo operativo del README).
backend,RV-09,PASA,0/3 accionable=NO. Los tres enuncian corrección (orden del parser; retry CKDpriv; placeholder USDC).
backend,RV-10,PASA,"R8: el artefacto son tres ítems de lista, sin encabezado de resumen/conclusiones y sin bloques ```. No hay prosa fuera de la lista."
backend,RV-11,PASA,0/3 veracidad=FALSO; 0 NO_VERIFICABLE. Los tres VERDADERO (código+spec+reproducción /tmp y eth_getCode 0x).
backend,RV-12,PASA,"0/3 NO_RESUELTO. P1-P3 RESUELTO en paso3 (src/app.ts, src/wallet/crypto.ts, README.md/.env.example). Snapshot paso3 presente."
web,RV-01,PASA,"Existe sut/.pipeline/revision-web.md y snapshots/web/paso2-revisor/.pipeline/revision-web.md (608 bytes, 1 punto)."
web,RV-02,PASA,Hash-diff paso1 → paso2: único alta .pipeline/revision-web.md. JSONL L228 creó y unlink :memory: durante la sesión; el cierre del paso no lo conserva. file_change sólo revision-web.md.
web,RV-03,PASA,R6: una escritura. JSONL L232 file_change add /repo/.pipeline/revision-web.md. L230 test -e (MISSING) y L234 sed son lecturas.
web,RV-04,PASA,R7: L205 npm test --prefix web && npm run build --prefix web && npm test && npm run build; L211 npm run dev (Vite :5173); L210/L217 curl al SUT; L225 node dist inject OPTIONS. Hay ejecución.
web,RV-05,PASA,0/1 ancla=NINGUNA. Punto 1 ancla=SPEC (HU-09-01 RN-14 / AT-09-01-15; HU-09-05 RN-10 / AT-09-05-10).
web,RV-06,PASA,0/1 ubicacion=NINGUNA. Señala src/app.ts:143-144 → ARCHIVO_LINEA.
web,RV-07,PASA,Un solo punto MAYOR. Sin inversión posible.
web,RV-08,PASA,0/1 eje=OTRO. Punto 1 CORRECCION (405 vs 204 en verbos no contractuales).
web,RV-09,PASA,0/1 accionable=NO. Pide reservar 204 al preflight válido y devolver 405 en el resto.
web,RV-10,PASA,"R8: un único ítem de lista, sin resumen/conclusiones ni bloques de código copiados."
web,RV-11,PASA,0/1 FALSO. VERDADERO: inject en /tmp/rev-web-p2 reproduce 204 incluso con ACR-Method GET; spec exige 405.
web,RV-12,PASA,0/1 NO_RESUELTO. paso3 src/app.ts:143-148 + sendCorsPreflight (204 sólo Origin+método admitido; si no 405). test/app.test.ts invalidPreflights.
mobile,RV-01,PASA,"Existe sut/.pipeline/revision-mobile.md y snapshots/mobile/paso2-revisor/.pipeline/revision-mobile.md (1454 bytes, 2 puntos)."
mobile,RV-02,PASA,Hash-diff paso1 → paso2: único alta .pipeline/revision-mobile.md; 0 cambios fuera. JSONL L280 file_change sólo esa ruta.
mobile,RV-03,PASA,R6: una escritura. JSONL L280 file_change add /repo/.pipeline/revision-mobile.md. L282 sed es lectura.
mobile,RV-04,PASA,R7: L256 npm run typecheck --prefix mobile; L257 npm run build; L259 npm test --prefix mobile; L260 npm test; L262 npx expo export --platform all. Hay ejecución del sistema.
mobile,RV-05,PASA,"0/2 ancla=NINGUNA. P1 SPEC (HU-11-01 RN/AT, RG-8); P2 SPEC (RG-6, HU-10-01 RN-7 / AT-10-01-07)."
mobile,RV-06,PASA,0/2 ubicacion=NINGUNA. P1 api.ts:158-161 y session.ts:35-69; P2 App.tsx:39-44. ARCHIVO_LINEA.
mobile,RV-07,PASA,R2: ambos MAYOR (P2 viola AT-10-01-07 vía RG-6; la etiqueta Baja se ignora). MAYOR luego MAYOR: sin inversión.
mobile,RV-08,PASA,0/2 eje=OTRO. Ambos CORRECCION (carrera de sesión; aviso de expiración).
mobile,RV-09,PASA,0/2 accionable=NO. P1 pide asociar 401 a token/época y serializar alta/borrado; P2 conservar motivo y renderizar el aviso.
mobile,RV-10,PASA,"R8: dos ítems de lista, sin resumen ejecutivo/conclusiones ni bloques ```. No hay prosa fuera de la lista."
mobile,RV-11,PASA,"0/2 FALSO; 0 NO_VERIFICABLE. P1 reproducido (stored=null, memory=B); P2 confirmado por código y ausencia del aviso en paso2."
mobile,RV-12,PASA,"0/2 NO_RESUELTO. P1: session.ts cola+expectedToken, api.ts/privateSocket.ts pasan token. P2: App.tsx loginNotice + LoginScreen initialNotice. Snapshot paso3 presente."
