etapa,criterio,resultado,detalle
backend,RV-01,PASA,Existe snapshots/backend/paso2-revisor/.pipeline/revision-backend.md (8620 B) con 10 puntos numerados; sut/.pipeline/revision-backend.md idéntico. No vacío.
backend,RV-02,PASA,diff -rq paso1-implementador vs paso2-revisor: sólo «Only in paso2: .pipeline» (revision-backend.md). JSONL paso2: 1 Write a /repo/.pipeline/revision-backend.md; bash no redirige a esa ruta.
backend,RV-03,PASA,"JSONL paso_inicio orden=2 → paso_fin: una única tool_use Write file_path=/repo/.pipeline/revision-backend.md. 0 comandos con >, >>, tee, cat > sobre esa ruta (R6). salida_escrita=true."
backend,RV-04,PASA,≥1 ejecución del sistema (R7): `npm run typecheck`; `timeout 900 npm test`; `npm run build`; `node dist/main.js`; múltiples `curl` a /health y /api/v1/* (349 bash en el paso 2).
backend,RV-05,PASA,10/10 puntos con ancla≠NINGUNA (todas SPEC).
backend,RV-06,PASA,"10/10 puntos con ubicacion≠NINGUNA (8 ARCHIVO_LINEA, 2 ARCHIVO: #6 scripts/bootstrap-env.mjs, #10 backend/tests/)."
backend,RV-07,FALLA,"Inversiones según buckets R2 (BLOQUEANTE>MAYOR>MENOR): secuencia M,M,m,M,m,M,m,M,M,m. 9 pares i<j con sev(i)<sev(j): MENOR #3 precede MAYOR #4,#6,#8,#9; MENOR #5 precede #6,#8,#9; MENOR #7 precede #8,#9. Primera inversión: #3≺#4."
backend,RV-08,PASA,"0 puntos con eje=OTRO (CORRECCION×8, OPERABILIDAD×1, COMPLETITUD×1; #3 OPERABILIDAD)."
backend,RV-09,PASA,"10/10 accionable=SI; todos enuncian un cambio (normalizar query, checksum, config, deriva, constraint, bootstrap, base64, PBKDF2, INTERNAL_API_KEY, test AT-09-02-11)."
backend,RV-10,PASA,"R8: prosa inicial (L3-8) es alcance/completitud/operabilidad, no resume lo ya listado; no hay encabezado de conclusiones; no hay bloques de código. grep de fragmentos del artefacto en paso2-revisor no halla copias verbatim de fuentes."
backend,RV-11,PASA,"0 puntos veracidad=FALSO; 0 NO_VERIFICABLE (10 VERDADERO, contrastados en paso2-revisor + spec/)."
backend,RV-12,PASA,"0 NO_RESUELTO; 10/10 RESUELTO (diff paso2→paso3 toca app.ts, config, derivation, db/accounts, elimina scripts/, bip39, tests rate-limit). README §9 declara los diez resueltos."
web,RV-01,PASA,Existe snapshots/web/paso2-revisor/.pipeline/revision-web.md (7462 B) con 7 puntos numerados. No vacío. La sección «Conflicto de spec» (L106-114) no es punto (R1: prosa fuera de la lista → RV-10).
web,RV-02,FALLA,diff -rq paso1 vs paso2: además de `.pipeline/revision-web.md` aparece el directorio `.claude/worktrees/` (creación fuera del archivo de salida). JSONL: Write a /tmp/mut/* (fuera del repo) y 1 Write al artefacto; el leftover `.claude` queda en el snapshot de cierre.
web,RV-03,PASA,JSONL paso 2: una sola Write sobre /repo/.pipeline/revision-web.md (otras Write/Edit son /tmp/mut/run.py). 0 redirecciones shell al artefacto (R6).
web,RV-04,PASA,R7: `npm run typecheck`; `npm run build`; `npm test`; `npm run test:e2e`; `npm start` del backend; `curl` login/me/CORS; `npm run dev` (152 bash).
web,RV-05,FALLA,1 punto con ancla=NINGUNA: #6 (README índice/e2e; no cita RN/AT/INV/HU ni archivo de spec/; R3). Los otros 6 son SPEC.
web,RV-06,PASA,"7/7 ubicacion≠NINGUNA (todas ARCHIVO_LINEA: app.ts, tests, auth.ts, TradingPage, README.md:12, SessionProvider)."
web,RV-07,FALLA,"Secuencia R2: M,M,m,M,M,m,m. 2 pares invertidos: MENOR #3 precede MAYOR #4 y #5. Primera inversión: #3≺#4."
