etapa,punto,eje,severidad,ancla,referencias,ubicacion,accionable,veracidad,destino,evidencia
backend,1,CORRECCION,MAYOR,SPEC,HU-06-04 RN-4; RN-9,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,R1: ítem 1 (revision-backend.md:12-22). «Un chainId/network repetido… saltea por completo la validación». paso2 app.ts:256-267: guardas `typeof rawChainId === 'string'` / `typeof rawNetwork === 'string'`; un array no se valida. asset repetido sí cae a VALIDATION_ERROR (typeof !== string). spec HU-06-04 RN-4: red/chainId distinto de Sepolia ⇒ CHAIN_ID_MISMATCH; RN-9: precedencia red tras esquema. R4: el defecto es estático (Fastify entrega array si el param se repite). R2: incumple RN-4 ⇒ MAYOR. Destino: paso3 app.ts introduce queryValues() y evalúa cada valor (diff paso2→paso3) ⇒ RESUELTO.
backend,2,CORRECCION,MAYOR,SPEC,HU-09-01 RN-10; HU-06-04 RN-6,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,R1: ítem 2 (L24-32). paso2 config/index.ts:127-133 parseAddressEnv sólo `^0x[0-9a-fA-F]{40}$` y app.ts:280 emite usdcContractAddress tal cual. HU-09-01 RN-10 y HU-06-04 RN-6 exigen tokenAddress 0x+40 hex con checksum EIP-55. R2: MAYOR. Destino: paso3 parseRequiredAddressEnv llama toChecksumAddress() y rechaza mixed-case inválido ⇒ RESUELTO.
backend,3,OPERABILIDAD,MENOR,SPEC,00-fundaciones/activos-y-par-de-trading.md,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: ítem 3 (L34-41). paso2 config/index.ts:46 DEFAULT_USDC_CONTRACT_ADDRESS y :177 fallback. spec activos-y-par-de-trading.md §2.2: dirección USDC-mock es parámetro de despliegue, «no se fija un valor literal aquí… única y constante por entorno». R2: no es RN-*/AT-*/INV-* ni impide arranque ⇒ MENOR. R3: ancla SPEC por archivo de spec/. Destino: paso3 elimina el default; ausencia ⇒ ConfigError al arrancar; README/.env.example la marcan obligatoria ⇒ RESUELTO."
backend,4,CORRECCION,MAYOR,SPEC,HU-06-02 RN-8; HU-06-03 RN-1; HU-06-01 RN-11,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: ítem 4 agrupa hang+tests insuficientes; se codea por el de mayor severidad (L43-63). paso2 derivation.ts:102 `if (error instanceof InvalidChildKeyError) continue;` sin mirar el nivel; bip32.ts:38-46 InvalidChildKeyError.index es el i BIP-32; deriveAccountAt rederiva el path completo. HU-06-02 RN-8 (avanzar el i del nivel que falló), HU-06-03 RN-1 (registrar address_index efectivo), HU-06-01 RN-11 (abortar ante fallo crítico). tests/wallet-crypto.test.ts:240-302 sólo stubbean el último nivel. R2: incumple RN-* ⇒ MAYOR. El ~9 días es accesorio; el bucle 2³¹ es estático. Destino: paso3 sólo continúa si error.depth === ADDRESS_INDEX_DEPTH && error.index === index; resto INTERNAL_ERROR; bip32.ts gana `depth` ⇒ RESUELTO."
backend,5,CORRECCION,MENOR,SPEC,00-fundaciones/modelo-de-errores.md,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: ítem 5 (L65-73). paso2 db.ts:92-105 isUniqueConstraintViolation acepta todo SQLITE_CONSTRAINT*; accounts-service.ts:137 lo mapea a EMAIL_ALREADY_EXISTS. SCHEMA: UNIQUE en deposit_addresses.address_index y .address además de idx_accounts_email. modelo-de-errores.md §3.6 dispara EMAIL_ALREADY_EXISTS sólo por «registro con un email ya existente». R2: el catálogo no es RN-*/AT-*; HU-01-01 RN-8 cubre unicidad de email, no la exclusividad del code ⇒ MENOR. Destino: paso3 isUniqueConstraintViolationOn(error, 'accounts.email'); el resto no se traduce a ese code ⇒ RESUELTO."
backend,6,CORRECCION,MAYOR,SPEC,HU-06-01 RN-6,ARCHIVO,SI,VERDADERO,RESUELTO,"R1: ítem 6 (L75-85). paso2 backend/scripts/bootstrap-env.mjs escribe WALLET_ENCRYPTION_KEY en backend/.env (mismo árbol que DATABASE_PATH por defecto ./data/exchange.db). package.json start/dev invocan el script. HU-06-01 RN-6: la credencial «nunca se persiste junto al material cifrado». R2: MAYOR. Ubicación ARCHIVO (sin número de línea). Destino: paso3 elimina scripts/; start = `node --env-file-if-exists=.env dist/main.js`; .env.example documenta el riesgo ⇒ RESUELTO."
backend,7,CORRECCION,MENOR,SPEC,HU-06-01 RN-6,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: ítem 7 (L87-91). paso2 config/index.ts:114-118: si no es hex, `Buffer.from(value, 'base64')` (Node descarta caracteres inválidos; verificado: cadena con `*` decodifica). RN-6 habla de credencial ausente/incorrecta al descifrar, no de alfabeto estricto ⇒ R2 MENOR (no es incumplimiento nítido de la RN). Destino: paso3 valida base64 canónico con round-trip ⇒ RESUELTO."
backend,8,CORRECCION,MAYOR,SPEC,HU-06-01 RN-3; AT-06-03-07,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,R1: ítem 8 (L93-101). paso2 bip39.ts:47 normalizeMnemonic hace NFKD+trim+colapso `\s+`; mnemonicToSeed:172 usa esa forma como password PBKDF2. HU-06-01 RN-3: password = mnemonic_NFKD sin otra transformación. AT-06-03-07: coincidencia con implementación BIP-44 de referencia. R2: MAYOR. Destino: paso3 normalizeMnemonic = sólo NFKD; canonicalMnemonicForValidation colapsa sólo para validar (RN-2) ⇒ RESUELTO.
backend,9,CORRECCION,MAYOR,SPEC,HU-06-03 RN-11; HU-09-02 RN-5,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: ítem 9 (L103-110). paso2 app.ts:304-315: sin INTERNAL_API_KEY sólo se chequea loopback; list() de todas las cuentas. HU-06-03 RN-11: consulta interna «no pública». HU-09-02 RN-5 (aislamiento de listados de usuario) se cita como agravante. R2: MAYOR por RN-11. Destino: paso3 exige INTERNAL_API_KEY siempre (timing-safe); si falta, 403 y la ruta queda deshabilitada ⇒ RESUELTO."
backend,10,COMPLETITUD,MENOR,SPEC,AT-09-02-11; HU-09-02 RN-12,ARCHIVO,SI,VERDADERO,RESUELTO,R1: ítem 10 (L112-117). paso2 backend/tests/ no contiene AT-09-02-11 ni epica-09-rate-limit.test.ts (sí epica-09-errores y rate limit de épica 01). HU-09-02 RN-12 / AT-09-02-11: 60 req/60 s por cuenta y endpoint ⇒ 429 RATE_LIMITED. El punto afirma que el comportamiento es correcto y falta el test: R2 MENOR (no incumple el AT de producto; falta DoD). Ubicación ARCHIVO (`backend/tests/`). Destino: paso3 añade tests/epica-09-rate-limit.test.ts y lo lista en README §8 ⇒ RESUELTO.
web,1,CORRECCION,MAYOR,SPEC,HU-09-05 RN-1; RN-2; RN-6; HU-09-01 RN-14,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: ítem 1 (revision-web.md:18-36). paso2 web/backend app.ts Fastify({logger, trustProxy, bodyLimit}) L106-112 sin frameworkErrors; setErrorHandler L181-200 no cubre errores pre-ruteo. HU-09-05 RN-1 envelope `{error:{code,message,details?}}`; RN-2 catálogo cerrado (FST_ERR_BAD_URL no está); RN-6 tabla sin HTTP 400; HU-09-01 RN-14 ruta inexistente ⇒ NOT_FOUND 404. R2: MAYOR. R4: ausencia de frameworkErrors es estática; el cuerpo Fastify citado es el default del framework. Destino: paso3 frameworkErrors + clientErrorHandler serializan el envelope y aplican CORS ⇒ RESUELTO."
web,2,CORRECCION,MAYOR,SPEC,HU-09-01 RN-14,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: ítem 2 (L38-54). paso2 app.ts:66-69 normalizePath recorta `/`; setNotFoundHandler L202-221: si el path normalizado está en KNOWN_ROUTES ⇒ METHOD_NOT_ALLOWED. Sin ignoreTrailingSlash, GET /api/v1/me/ no matchea, cae al 404-handler y sale 405 con method GET ∈ allowed [GET]. HU-09-01 RN-14: 405 = verbo no permitido sobre ruta existente. R2: MAYOR. Estático. Destino: paso3 routerOptions.ignoreTrailingSlash: true ⇒ RESUELTO."
web,3,COMPLETITUD,MENOR,SPEC,AT-10-01-09; AT-10-01-10; RN-11; RN-7,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: ítem 3 (L56-73). paso2 HU-10-01-login.test.tsx:491 meCalls.length>=1; :517 asertos finales. TradingPage.tsx:29 llama GET /me; SessionProvider.tsx:70-122 es el bootstrap RN-11. Si el bootstrap no llamara /me y confiara en el token, TradingPage igual dispara /me: AT-10-01-09 se satisface y AT-10-01-10 acaba en login vía RN-7 (TradingPage.tsx:33-35) sin prohibir el montaje transitorio. R2: la implementación de producción es correcta (el propio punto lo dice) ⇒ MENOR. Destino: paso3 reescribe ambos tests con meGate/watchTradingMount (causalidad) ⇒ RESUELTO."
web,4,CORRECCION,MAYOR,SPEC,HU-10-01 RN-11,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: ítem 4 (L75-81). paso2 auth.ts:56-64 fetchProfile lanza TransportError si falta un campo; SessionProvider.tsx:112-114 trata el resto como fallo de red ⇒ anonymous + CONNECTION_ERROR. HU-10-01 RN-11: «si responde 200, la sesión es válida»; sólo UNAUTHENTICATED/ausencia/expiración local invalidan. R2: MAYOR. Destino: paso3 parseProfile devuelve null; fetchProfile resuelve `{profile}` sin lanzar ante 200 incompleto; bootstrap autentica igual ⇒ RESUELTO."
web,5,CORRECCION,MAYOR,SPEC,HU-01-03 RN-1; HU-10-01,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,"R1: ítem 5 (L83-89). paso2 TradingPage.tsx:50-52 botón Salir → signOut(); SessionProvider.tsx:137-139 applyAnonymous local, sin POST /auth/logout. KNOWN_ROUTES paso2 sin /auth/logout. HU-01-03 RN-1 exige invalidar el token vía POST /api/v1/auth/logout; HU-10-01 no cubre logout. R2: MAYOR por RN-1. Destino: paso3 quita el botón, signOut y expireSession del contexto; README §15 lo documenta ⇒ RESUELTO."
web,6,OPERABILIDAD,MENOR,NINGUNA,,ARCHIVO_LINEA,SI,VERDADERO,RESUELTO,R1: ítem 6 (L91-97). README.md:12 «secciones 10 a 15» pero Parte II llega a §16 (L544 Tests e2e). §16 (L584-585) pide curl trader@example.com; tests-e2e/login-e2e.test.tsx:31-42 crea email aleatorio. R3: no cita RN/AT/INV/HU ni archivo de spec/ ⇒ ancla NINGUNA. R2: MENOR. Destino: paso3 índice «secciones 10 a 16»; el procedimiento e2e ya no pide el curl de registro (L615-621) ⇒ RESUELTO.
