at_id,resultado,test,duracion_segundos,detalle
AT-01-01-01,falla,tests/test_ep01_registro.py::test_registro_exitoso_con_credenciales_validas,0.099,
AT-01-01-02,pasa,tests/test_ep01_registro.py::test_normalizacion_del_email_en_el_registro,0.091,
AT-01-01-03,pasa,tests/test_ep01_registro.py::test_email_ya_registrado_se_rechaza_con_409,0.146,
AT-01-01-04a,pasa,tests/test_ep01_registro.py::test_email_sin_arroba_es_validation_error,0.046,
AT-01-01-04b,pasa,tests/test_ep01_registro.py::test_email_con_dominio_sin_punto_es_validation_error,0.044,
AT-01-01-04c,pasa,tests/test_ep01_registro.py::test_email_con_parte_local_vacia_es_validation_error,0.045,
AT-01-01-04d,pasa,tests/test_ep01_registro.py::test_email_con_espacio_interno_es_validation_error,0.046,
AT-01-01-04e,pasa,tests/test_ep01_registro.py::test_email_con_puntos_invalidos_en_dominio_es_validation_error,0.091,
AT-01-01-05,pasa,tests/test_ep01_registro.py::test_password_demasiado_corta_es_validation_error,0.045,
AT-01-01-06,pasa,tests/test_ep01_registro.py::test_password_demasiado_larga_es_validation_error,0.046,
AT-01-01-07,pasa,tests/test_ep01_registro.py::test_campo_requerido_faltante_es_validation_error,0.003,
AT-01-01-08,pasa,tests/test_ep01_registro.py::test_tipo_de_dato_incorrecto_es_validation_error,0.047,
AT-01-01-09,pasa,tests/test_ep01_registro.py::test_precedencia_email_invalido_antes_que_password_invalida,0.002,
AT-01-01-10,pasa,tests/test_ep01_registro.py::test_dos_registros_concurrentes_con_el_mismo_email,0.117,
AT-01-01-11,pasa,tests/test_ep01_registro.py::test_cuenta_registrada_sobrevive_un_reinicio,2.984,
AT-01-01-12,pasa,tests/test_ep01_registro.py::test_password_en_el_limite_inferior_valido,0.094,
AT-01-01-13,pasa,tests/test_ep01_registro.py::test_password_en_el_limite_superior_valido,0.091,
AT-01-01-14,pasa,tests/test_ep01_registro.py::test_email_en_el_limite_superior_valido,0.051,
AT-01-01-15,pasa,tests/test_ep01_registro.py::test_email_que_excede_el_maximo_es_validation_error,0.049,
AT-01-01-16,pasa,tests/test_ep01_registro.py::test_precedencia_campo_faltante_antes_que_politica_de_password,0.003,
AT-01-01-17,pasa,tests/test_ep01_registro.py::test_precedencia_tipo_incorrecto_antes_que_unicidad,0.048,
AT-01-01-18,pasa,tests/test_ep01_registro.py::test_campo_desconocido_en_el_payload_es_validation_error,0.045,
AT-01-01-19,pasa,tests/test_ep01_registro.py::test_account_id_opaco_y_no_secuencial,0.190,
AT-01-01-20,skip,tests/test_ep01_registro.py::test_anti_flood_de_registro_responde_rate_limited,2.754,
AT-01-02-01,pasa,tests/test_ep01_login.py::test_login_exitoso_devuelve_token_con_expiracion,0.097,
AT-01-02-02,pasa,tests/test_ep01_login.py::test_login_normaliza_capitalizacion_y_espacios_del_email,0.101,
AT-01-02-03,pasa,tests/test_ep01_login.py::test_el_token_autentica_una_llamada_protegida,0.140,
AT-01-02-04,pasa,tests/test_ep01_login.py::test_password_incorrecta_es_invalid_credentials,0.147,
AT-01-02-05,pasa,tests/test_ep01_login.py::test_email_inexistente_es_indistinguible_de_password_incorrecta,0.191,
AT-01-02-06,pasa,tests/test_ep01_login.py::test_payload_de_login_mal_formado_es_validation_error,0.002,
AT-01-02-07,pasa,tests/test_ep01_login.py::test_precedencia_esquema_antes_que_credenciales,0.001,
AT-01-02-08,pasa,tests/test_ep01_login.py::test_sesiones_multiples_concurrentes_no_se_invalidan,0.146,
AT-01-02-09,skip,tests/test_ep01_login.py::test_rate_limiting_de_login_tras_multiples_fallos,2.746,
AT-01-02-10,pasa,tests/test_ep01_login.py::test_heuristica_de_impredecibilidad_del_token,4.513,
AT-01-02-11,pasa,tests/test_ep01_login.py::test_indistinguibilidad_temporal_anti_timing_attack,104.123,
AT-01-02-12,pasa,tests/test_ep01_login.py::test_email_con_formato_invalido_en_login_no_es_validation_error,0.089,
AT-01-02-13,no_automatizado,,,"El log de auditoría de autenticación (RNE-9) es interno por definición: la propia HU declara que ""no es accesible desde la API del usuario final"" y que el AT es ""verificable por inspección interna; no observable por caja negra en la respuesta de la API"". No existe superficie HTTP/WS/on-chain que lo exponga (exponerlo violaría RNE-3). Se evalúa por inspección de código/operativa en H8."
AT-01-03-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-01-03-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-01-03-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-01-03-04,no_automatizado,,,"El Dado exige un token expirado por TTL. El entorno de evaluación fija el TTL en 3600 s (evaluacion/suite-at/entorno/README.md: ""TTL de token 3600 s... se dejan en esos valores"") y la spec no da ninguna vía black-box para acortarlo ni para adelantar el reloj del SUT: provocar la expiración costaría 1 h de espera por corrida. La indistinguibilidad de la respuesta 401 sí está cubierta para la causa ""invalidado por logout"" (AT-01-03-02, AT-01-04-04). Se evalúa en H8 por inspección de código (chequeo t >= expiresAt y validación del TTL al arranque, HU-01-02 RN-3)."
AT-01-03-05,sin_test,,,AT backend sin test ni declaración de no automatizable
