at_id,resultado,detalle,fuera_de_catalogo
AT-11-01-01,PASA,Login con evaluador.p2@eval.test navega a Depositar. Backend POST /api/v1/auth/login 200 y GET /deposit-address?asset=ETH 200. Token persistido sólo vía SecureStore (saveSession en secure-storage.ts; confirmado por cold start de AT-11-01-02). Password no se escribe en almacén. evidencia/AT-11-01-01-2-after-submit.png y .xml,false
AT-11-01-02,PASA,"Tras am force-stop host.exp.exponent y CMD_RELANZAR_APP entra a Depositar sin pedir credenciales. Backend: sólo GET /deposit-address?asset=ETH 200, sin POST /auth/login ni GET /me (restauración optimista). evidencia/AT-11-01-02-2-restored.png, AT-11-01-02-backend.log",false
AT-11-01-03,PASA,"Tras logout (POST /auth/logout 204) muestra login. Cold start (force-stop + relanzar) vuelve a login. Backend: ningún endpoint autenticado tras el logout/reapertura. evidencia/AT-11-01-03-1-coldstart.png, AT-11-01-03-backend.log",false
AT-11-01-04,PASA,"Credenciales incorrectas: POST /auth/login 401. UI: 'Email o contraseña incorrectos' (no revela si el email existe), permanece en login. Cold start posterior sigue en login (no persistió token). evidencia/AT-11-01-04-1-error.png, AT-11-01-04-2-coldstart.png, AT-11-01-04-backend.log",false
AT-11-01-05,PASA,"Sesión activa; se revocaron sesiones en SQLite (revoked_at). Tap USDC dispara GET /deposit-address?asset=USDC 401. App borra sesión y redirige a login con 'Tu sesión expiró, ingresá nuevamente'. Cold start posterior permanece en login. evidencia/AT-11-01-05-1-after-401.png, AT-11-01-05-2-coldstart.png, AT-11-01-05-backend.log",false
AT-11-01-06,PASA,"Logout: POST /auth/logout 204, UI vuelve a login. Cold start (force-stop + relanzar) pide credenciales; backend sin GET autenticados. evidencia/AT-11-01-06-1-logout.png, AT-11-01-06-2-coldstart.png, AT-11-01-06-backend.log",false
AT-11-01-07,PASA,"Campos vacíos: bloquea con 'Ingresá tu email' e 'Ingresá tu contraseña'. Email 'notanemail': 'El email no tiene un formato válido'. Backend sin POST /auth/login (log vacío). evidencia/AT-11-01-07-1-empty.png, AT-11-01-07-2-invalid-email.png, AT-11-01-07-backend.log",false
AT-11-01-08,PASA,"Instrumentación (precondición 5): tests propios en copia /tmp/eval-mobile-jest (tests/login/login-security.test.tsx) AT-11-01-08 x3 PASA: SecureStore.setItemAsync recibe el token; AsyncStorage/localStorage 0 invocaciones; escaneo estático de App.tsx, index.ts y src/ sin almacén en claro. Código: único persistidor expo-secure-store (secure-storage.ts); package.json sin AsyncStorage. evidencia/AT-11-01-instrumentacion-jest.log",false
AT-11-01-09,PASA,"Backend caído (docker stop sut-2a). Login con credenciales válidas: 'No se pudo conectar, reintentá' (distinto de 'Email o contraseña incorrectos'), permanece en login con Ingresar habilitado. No hay token (sigue anónimo). Restablecido con docker start sut-2a; health OK. evidencia/AT-11-01-09-1-offline.png",false
AT-11-01-10,PASA,"Sesión activa; KEYCODE_HOME y sleep 60 real; am start ExperienceActivity (task brought to front, no restart). Sigue en Depositar con la misma dirección, sin re-login. Backend: sin POST /auth/login al volver. evidencia/AT-11-01-10-0-auth.png, AT-11-01-10-1-resume.png, AT-11-01-10-backend.log",false
